"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1114",571771,"Enrique Hernandez","1114","100.0","0.230","0.250","0.224","0.480","0.333","0.342","0.242","56","244","84.3","20.7","2258","87.3","86.70","114","474","639","-0.6","5.88","108","151","111","146","301","318","298"
"1027",446334,"Evan Longoria","1027","100.0","0.246","0.188","0.277","0.434","0.299","0.340","0.271","63","256","84.6","18.0","2247","88.1","87.55","98","500","524","-0.5","5.92","106","151","117","145","300","323","293"
"926",457803,"Jay Bruce","926","100.0","0.213","0.109","0.263","0.322","0.269","0.339","0.257","45","211","84.1","23.5","2159","88.6","87.90","134","464","461","-0.7","5.92","114","164","126","152","297","322","304"
"1488",641820,"Trey Mancini","1488","100.0","0.220","0.148","0.264","0.367","0.291","0.339","0.250","73","332","84.1","12.5","2230","87.7","87.04","203","718","766","-0.7","5.95","109","151","117","146","300","320","287"
"1444",518618,"Derek Dietrich","1444","100.0","0.293","0.178","0.362","0.471","0.357","0.339","0.266","97","331","82.5","20.0","2203","88.8","88.14","172","730","697","-0.7","5.98","115","149","109","151","291","318","299"
"872",545341,"Randal Grichuk","872","100.0","0.207","0.232","0.221","0.438","0.306","0.339","0.234","42","203","86.8","19.8","2280","88.5","87.99","136","428","440","-0.5","6.00","106","151","114","144","296","322","296"
"1171",434158,"Curtis Granderson","1171","100.0","0.238","0.194","0.321","0.432","0.339","0.339","0.237","54","227","83.0","19.2","2242","88.5","87.88","129","463","704","-0.6","5.97","116","161","118","152","291","321","299"
"1229",571466,"Tucker Barnhart","1229","100.0","0.249","0.104","0.295","0.353","0.302","0.339","0.275","72","289","82.4","14.8","2182","88.4","87.93","117","571","651","-0.5","6.00","113","150","113","147","291","313","294"
"1266",621002,"Daniel Robertson","1266","100.0","0.252","0.132","0.327","0.384","0.342","0.338","0.232","63","250","81.1","13.0","2223","88.3","87.56","128","486","769","-0.7","5.94","108","151","114","147","297","317","287"
"1148",592348,"Niko Goodrum","1148","100.0","0.249","0.202","0.327","0.451","0.327","0.338","0.243","63","253","81.3","16.6","2192","88.6","88.00","185","585","560","-0.6","5.94","114","148","107","149","290","318","296"
"1251",609280,"Miguel Andujar","1251","100.0","0.281","0.207","0.312","0.488","0.340","0.338","0.276","91","324","84.0","13.1","2281","87.4","86.84","130","643","606","-0.6","5.97","107","152","117","148","297","318","288"
"887",527038,"Wilmer Flores","887","100.0","0.267","0.184","0.259","0.452","0.329","0.338","0.278","58","217","83.4","21.3","2221","88.3","87.70","58","436","450","-0.6","5.93","107","152","115","146","301","321","296"
"1056",134181,"Adrian Beltre","1056","100.0","0.287","0.110","0.350","0.397","0.320","0.337","0.278","68","237","84.6","17.3","2267","88.2","87.55","105","463","590","-0.7","5.92","105","151","118","147","302","323","293"
"1249",400121,"Victor Martinez","1249","100.0","0.228","0.073","0.240","0.300","0.253","0.337","0.285","69","303","83.7","16.9","2155","88.3","87.86","90","599","648","-0.4","6.02","114","163","127","150","290","320","297"
