"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"2266",459964,"Matt Joyce",2017,"2266","100.0","0.243","0.230","0.263","0.473","0.343","0.360","0.256","114","469","82.7","17.9","2206","87.5","86.97","239","957","1302","-0.5","5.98","114","154","114","150","292","319","297"
"2573",543333,"Eric Hosmer",2017,"2573","100.0","0.318","0.179","0.351","0.498","0.376","0.360","0.291","192","603","83.9","9.3","2214","88.3","88.05","262","1210","1362","-0.3","6.08","113","150","117","150","297","325","308"
"1972",451594,"Dexter Fowler",2017,"1972","100.0","0.264","0.224","0.305","0.488","0.358","0.359","0.272","111","420","82.0","16.5","2184","88.5","88.08","190","848","1117","-0.4","5.99","114","149","108","150","296","318","296"
"1995",541645,"Avisail Garcia",2017,"1995","100.0","0.330","0.176","0.392","0.506","0.375","0.359","0.284","171","518","83.4","12.9","2280","88.6","88.31","345","1176","810","-0.3","6.11","107","150","115","146","301","323","293"
"2308",514888,"Jose Altuve",2017,"2308","100.0","0.346","0.202","0.370","0.547","0.405","0.358","0.281","204","590","81.0","13.3","2249","88.2","87.74","185","1099","1195","-0.5","6.02","105","148","106","145","295","319","287"
"1676",461314,"Matt Kemp",2017,"1676","100.0","0.276","0.187","0.318","0.463","0.328","0.358","0.291","121","438","83.2","12.2","2206","88.3","87.84","274","919","757","-0.5","5.98","108","152","116","147","304","320","294"
"2073",457763,"Buster Posey",2017,"2073","100.0","0.320","0.142","0.347","0.462","0.366","0.357","0.286","158","494","84.6","15.3","2227","89.0","88.56","146","917","1148","-0.4","6.04","108","151","116","147","300","321","293"
"2687",553993,"Eugenio Suarez",2017,"2687","100.0","0.260","0.200","0.309","0.461","0.356","0.357","0.260","139","534","79.9","15.5","2202","88.8","88.42","278","1134","1544","-0.4","6.12","108","150","114","145","299","316","289"
"2727",596019,"Francisco Lindor",2017,"2727","100.0","0.273","0.232","0.275","0.505","0.353","0.357","0.274","178","651","83.4","17.4","2211","88.1","87.66","198","1287","1430","-0.4","6.02","112","148","104","147","290","315","295"
"2024",446263,"Lucas Duda",2017,"2024","100.0","0.217","0.279","0.238","0.496","0.341","0.356","0.243","92","423","84.0","21.7","2204","88.1","87.63","217","813","1204","-0.5","6.06","116","166","134","151","296","324","305"
"2558",571875,"Jake Lamb",2017,"2558","100.0","0.248","0.239","0.287","0.487","0.353","0.355","0.250","133","536","82.4","16.5","2223","88.7","88.05","243","1018","1532","-0.7","5.92","113","153","123","149","300","324","306"
"2883",592885,"Christian Yelich",2017,"2883","100.0","0.282","0.156","0.336","0.439","0.348","0.355","0.273","170","602","84.4","9.9","2180","88.6","87.93","271","1223","1652","-0.7","6.02","113","148","112","149","295","317","301"
"2119",624577,"Yasiel Puig",2017,"2119","100.0","0.263","0.224","0.274","0.487","0.349","0.355","0.260","131","499","82.7","14.4","2227","89.8","89.21","242","979","1134","-0.6","5.95","107","151","115","146","303","319","297"
"1737",521692,"Salvador Perez",2017,"1737","100.0","0.268","0.227","0.280","0.495","0.329","0.354","0.276","126","471","83.9","20.7","2222","87.7","87.45","213","1021","711","-0.3","6.08","106","150","115","145","301","324","298"
"2084",434670,"Hanley Ramirez",2017,"2084","100.0","0.242","0.188","0.272","0.429","0.318","0.354","0.267","120","496","82.6","18.5","2260","89.4","88.84","256","1001","1077","-0.6","5.99","109","151","117","146","293","324","298"
"1974",593934,"Miguel Sano",2017,"1974","100.0","0.264","0.243","0.375","0.507","0.361","0.353","0.239","112","424","85.3","17.4","2254","87.8","87.17","379","959","1011","-0.6","5.97","107","152","117","146","302","325","297"
"1550",460075,"Ryan Braun",2017,"1550","100.0","0.268","0.218","0.292","0.487","0.347","0.352","0.268","102","380","83.4","12.2","2197","89.7","89.21","177","804","740","-0.5","6.04","108","150","114","146","305","319","293"
"2565",572122,"Kyle Seager",2017,"2565","100.0","0.249","0.201","0.262","0.450","0.327","0.352","0.261","144","578","83.4","20.6","2220","87.7","87.22","230","1097","1457","-0.5","6.00","114","160","117","150","290","320","299"
"1656",400121,"Victor Martinez",2017,"1656","100.0","0.255","0.117","0.280","0.372","0.303","0.351","0.277","100","392","84.2","16.2","2199","87.5","87.06","124","773","877","-0.4","6.02","115","167","126","151","293","322","300"
"1708",435522,"Neil Walker",2017,"1708","100.0","0.265","0.174","0.297","0.439","0.346","0.350","0.265","102","385","81.6","18.2","2180","89.0","88.46","147","714","989","-0.5","6.04","114","151","114","150","294","316","298"
"2110",656941,"Kyle Schwarber",2017,"2110","100.0","0.211","0.256","0.244","0.467","0.333","0.348","0.222","89","422","83.8","23.9","2185","88.8","88.41","279","937","1164","-0.4","6.05","119","162","124","150","295","318","301"
"2302",608324,"Alex Bregman",2017,"2302","100.0","0.284","0.191","0.311","0.475","0.351","0.347","0.276","158","556","83.0","21.1","2253","88.4","87.96","170","1030","1264","-0.4","6.02","108","149","110","146","295","319","286"
"1998",425877,"Yadier Molina",2017,"1998","100.0","0.273","0.166","0.285","0.439","0.316","0.347","0.284","137","501","83.0","20.4","2230","89.3","88.82","197","1050","941","-0.5","6.00","110","151","114","148","303","316","289"
"1822",543257,"Robbie Grossman",2017,"1822","100.0","0.246","0.134","0.287","0.380","0.329","0.347","0.265","94","382","80.0","16.6","2192","88.7","88.17","122","700","1117","-0.5","6.04","110","148","108","147","290","316","291"
"2827",572821,"Brian Dozier",2017,"2827","100.0","0.271","0.227","0.300","0.498","0.362","0.347","0.244","167","617","83.0","21.0","2260","88.7","88.13","290","1174","1639","-0.6","6.01","107","151","108","144","297","320","290"
"1606",575929,"Willson Contreras",2017,"1606","100.0","0.276","0.223","0.319","0.499","0.362","0.347","0.252","104","377","81.5","12.3","2194","89.0","88.56","231","759","832","-0.4","6.07","108","151","110","146","298","317","293"
"1886",594988,"Scott Schebler",2017,"1886","100.0","0.233","0.252","0.248","0.484","0.330","0.347","0.252","110","473","82.5","16.6","2192","88.2","87.71","290","988","879","-0.5","6.08","116","153","121","150","295","318","297"
"2240",519058,"Mike Moustakas",2017,"2240","100.0","0.272","0.249","0.263","0.521","0.345","0.346","0.272","151","555","81.8","24.0","2209","87.7","87.39","261","1246","988","-0.3","6.05","115","158","122","150","297","324","303"
